,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
0,16240,53180.0,4.0,Saloon,2993.0,Automatic,2015.0,BMW,5
1,12379,53505.0,4.0,Saloon,1968.0,Automatic,2017.0,Volkswagen,Passat
2,16990,47000.0,4.0,Saloon,2987.0,Automatic,2016.0,Mercedes-Benz,E
3,8295,87480.0,4.0,Saloon,2191.0,Manual,2017.0,Mazda,6
4,9995,81000.0,4.0,Saloon,2993.0,Automatic,2011.0,Jaguar,XJ
5,15280,28155.0,4.0,Saloon,2100.0,Automatic,2016.0,Mercedes-Benz,C
6,25895,4000.0,4.0,Saloon,1969.0,Automatic,2019.0,Volvo,S60
8,45000,283.0,4.0,Saloon,2967.0,Automatic,2020.0,Audi,A8
9,24991,8297.0,4.0,Saloon,1969.0,Automatic,2019.0,Volvo,S90
10,7999,19478.0,5.0,Hatchback,1248.0,Automatic,2016.0,Hyundai,I10
11,5998,20746.0,5.0,Hatchback,998.0,Manual,2016.0,Hyundai,I10
12,15470,5852.0,5.0,Hatchback,999.0,Manual,2019.0,Ford,Focus
14,7399,64922.0,3.0,Hatchback,1560.0,Manual,2016.0,Ds,Ds
15,14300,1525.0,5.0,Hatchback,1500.0,Manual,2019.0,Mazda,2
16,15500,1715.0,5.0,Hatchback,2000.0,Manual,2019.0,Mazda,3
17,12300,10269.0,5.0,Hatchback,998.0,Automatic,2017.0,Ford,Fiesta
18,14490,20056.0,5.0,Hatchback,1197.0,Manual,2017.0,Nissan,Qashqai
19,10995,4276.0,5.0,Hatchback,1242.0,Manual,2017.0,Suzuki,Ignis
20,26826,4230.0,5.0,4x4,1995.0,Automatic,2019.0,BMW,X1
21,18750,61000.0,5.0,4x4,1999.0,Automatic,2016.0,Land-Rover,Range
22,12200,17395.0,5.0,4x4,1368.0,Automatic,2017.0,Jeep,Renegade
23,51000,50.0,5.0,4x4,2000.0,Automatic,2019.0,Volvo,XC90
24,17850,44890.0,5.0,4x4,2400.0,Automatic,2016.0,Volvo,XC60
25,14999,2178.0,5.0,4x4,1600.0,Manual,2019.0,Kia,Sportage
26,32000,21560.0,5.0,4x4,2000.0,Automatic,2016.0,Volvo,XC90
27,13490,28192.0,5.0,4x4,1498.0,Manual,2017.0,Ford,Kuga
28,17995,14055.0,5.0,4x4,1997.0,Automatic,2018.0,Ford,Kuga
29,17395,15002.0,5.0,4x4,1598.0,Manual,2019.0,Kia,Sportage
30,24995,17422.0,5.0,Estate,1968.0,Automatic,2017.0,Volkswagen,Tiguan
31,15870,34145.0,5.0,Estate,1997.0,Automatic,2016.0,Ford,Galaxy
32,30795,4000.0,5.0,Estate,1395.0,Automatic,2019.0,Volkswagen,Passat
33,34980,23137.0,5.0,Estate,2000.0,Automatic,2017.0,Volvo,XC60
34,23798,5606.0,5.0,Estate,1969.0,Automatic,2018.0,Volvo,V60
35,12495,49000.0,5.0,Estate,1968.0,Automatic,2013.0,Audi,Q3
36,19100,12586.0,5.0,Estate,1991.0,Automatic,2015.0,Mercedes-Benz,C
37,17800,41269.0,5.0,Estate,2143.0,Automatic,2017.0,Mercedes-Benz,GLA
38,29900,7583.0,5.0,Estate,1993.0,Manual,2019.0,Honda,CR-V
39,3595,108000.0,5.0,Estate,2179.0,Manual,2008.0,Ford,Mondeo
42,9295,34215.0,3.0,Coupe,1364.0,Manual,2015.0,Vauxhall,GTC
43,14800,21000.0,3.0,Coupe,2000.0,Automatic,2015.0,Volkswagen,Scirocco
44,14250,50000.0,2.0,Coupe,1984.0,Automatic,2013.0,Audi,TT
45,15465,27998.0,2.0,Coupe,1995.0,Automatic,2016.0,BMW,4
46,4095,87800.0,2.0,Coupe,2148.0,Automatic,2009.0,Mercedes-Benz,CLK
48,137991,2308.0,2.0,Coupe,3996.0,Automatic,2017.0,Porsche,911
49,17498,38775.0,2.0,Coupe,2979.0,Automatic,2014.0,BMW,2
50,15989,12998.0,2.0,Convertible,2143.0,Automatic,2014.0,Mercedes-Benz,E
52,12995,19700.0,2.0,Convertible,2143.0,Automatic,2013.0,Mercedes-Benz,SLK
53,7490,23077.0,3.0,Convertible,1242.0,Manual,2015.0,Fiat,500
54,33990,46094.0,2.0,Convertible,2979.0,Automatic,2016.0,BMW,4
55,25995,8554.0,2.0,Convertible,1950.0,Automatic,2019.0,Mercedes-Benz,C
56,2385,36000.0,2.0,Convertible,1598.0,Manual,2008.0,Peugeot,207
57,3595,84500.0,2.0,Convertible,1910.0,Automatic,2007.0,Saab,9-3
58,1495,78000.0,2.0,Convertible,1910.0,Manual,2008.0,Vauxhall,Astra
59,15000,35953.0,2.0,Convertible,1395.0,Manual,2016.0,Audi,A3
60,3195,86000.0,5.0,MPV,1686.0,Manual,2012.0,Vauxhall,Zafira
61,16995,10000.0,5.0,MPV,1499.0,Automatic,2019.0,Ford,C-Max
62,4695,73654.0,5.0,MPV,1686.0,Manual,2013.0,Vauxhall,Zafira
63,12000,25000.0,5.0,MPV,1798.0,Automatic,2015.0,Toyota,Verso
64,3375,97000.0,5.0,MPV,1999.0,Manual,2010.0,Mazda,5
65,10149,57338.0,5.0,MPV,1560.0,Manual,2016.0,Citroen,C4
66,7999,18526.0,5.0,MPV,1800.0,Manual,2014.0,Vauxhall,Zafira
67,2495,66000.0,5.0,MPV,1598.0,Manual,2009.0,Vauxhall,Meriva
69,16990,26000.0,5.0,MPV,1598.0,Manual,2017.0,Volkswagen,Touran
141,11500,84830.0,4.0,Saloon,1991.0,Manual,2015.0,Mercedes-Benz,C
142,17498,62000.0,4.0,Saloon,1968.0,Automatic,2016.0,Audi,A6
143,29495,1000.0,4.0,Saloon,2143.0,Automatic,2020.0,Alfa-Romeo,Giulia
144,14495,62000.0,4.0,Saloon,2143.0,Automatic,2014.0,Mercedes-Benz,C
145,11799,35287.0,4.0,Saloon,2179.0,Automatic,2013.0,Jaguar,XF
146,23999,13056.0,5.0,Saloon,2200.0,Automatic,2018.0,Kia,Stinger
147,22690,17132.0,4.0,Saloon,2000.0,Automatic,2019.0,Mercedes-Benz,C
148,16998,21786.0,4.0,Saloon,2143.0,Automatic,2016.0,Mercedes-Benz,C
149,10370,47160.0,4.0,Saloon,1598.0,Manual,2016.0,Volkswagen,Passat
150,9990,5000.0,5.0,Hatchback,998.0,Manual,2019.0,Toyota,Aygo
151,20810,18462.0,5.0,Hatchback,1991.0,Automatic,2018.0,Mercedes-Benz,GLA
152,10149,22333.0,5.0,Hatchback,1499.0,Manual,2016.0,Ford,Focus
153,10980,23583.0,5.0,Hatchback,1582.0,Manual,2017.0,Kia,Ceed
154,3990,94000.0,3.0,Hatchback,1496.0,Manual,2013.0,Ford,Fiesta
155,5390,10000.0,3.0,Hatchback,998.0,Manual,2017.0,Peugeot,108
156,11095,23306.0,5.0,Hatchback,1400.0,Manual,2017.0,Vauxhall,Mokka
157,6290,89000.0,5.0,Hatchback,1984.0,Manual,2011.0,Skoda,Octavia
158,1995,113000.0,5.0,Hatchback,1596.0,Automatic,2008.0,Ford,Focus
159,7950,24227.0,3.0,Hatchback,1398.0,Manual,2017.0,Vauxhall,Corsa
160,29500,15.0,5.0,4x4,1998.0,Manual,2020.0,Mazda,CX-5
161,24000,27380.0,5.0,4x4,3000.0,Automatic,2014.0,Audi,Q5
162,16495,31356.0,5.0,4x4,1685.0,Manual,2017.0,Kia,Sportage
163,17700,38481.0,5.0,4x4,1998.0,Automatic,2016.0,Mitsubishi,Outlander
164,37042,15841.0,5.0,4x4,2996.0,Manual,2018.0,Mercedes-Benz,GLC
165,34395,32100.0,5.0,4x4,1969.0,Manual,2018.0,Volvo,XC90
166,17095,46918.0,5.0,4x4,1995.0,Automatic,2017.0,BMW,X1
167,16995,41124.0,5.0,4x4,1685.0,Manual,2017.0,Kia,Sportage
168,36991,3201.0,5.0,4x4,1950.0,Manual,2019.0,Mercedes-Benz,GLC
170,67891,7381.0,5.0,Estate,3000.0,Automatic,2019.0,Land-Rover,Range-Rover-Sport
171,14998,8682.0,5.0,Estate,1598.0,Automatic,2017.0,Nissan,X-Trail
172,51990,12393.0,5.0,Estate,2891.0,Automatic,2019.0,Alfa-Romeo,Stelvio
173,18395,17470.0,5.0,Estate,1591.0,Automatic,2019.0,Hyundai,Tucson
175,9999,77020.0,5.0,Estate,1968.0,Manual,2016.0,Skoda,Octavia
176,23480,12000.0,5.0,Estate,2000.0,Automatic,2019.0,Ford,Kuga
177,27995,7010.0,5.0,Estate,1969.0,Automatic,2019.0,Volvo,V60
178,16495,36359.0,5.0,Estate,1968.0,Manual,2017.0,Audi,A6
180,17691,33085.0,4.0,Coupe,2143.0,Automatic,2016.0,Mercedes-Benz,CLS
181,7795,122150.0,3.0,Coupe,1968.0,Manual,2015.0,Volkswagen,Scirocco
182,6595,58000.0,2.0,Coupe,1997.0,Manual,2013.0,Peugeot,RCZ
183,16995,96654.0,2.0,Coupe,3387.0,Automatic,2001.0,Porsche,911
184,4295,124000.0,2.0,Coupe,2993.0,Automatic,2006.0,BMW,3
185,16000,60865.0,4.0,Coupe,1995.0,Automatic,2017.0,BMW,4
188,6000,78000.0,2.0,Coupe,4966.0,Manual,2002.0,Mercedes-Benz,CLK
189,15498,24805.0,3.0,Coupe,1968.0,Automatic,2017.0,Volkswagen,Scirocco
191,5495,101400.0,2.0,Convertible,1598.0,Manual,2013.0,Volkswagen,Golf
192,12900,34600.0,2.0,Convertible,1997.0,Manual,2014.0,BMW,Z4
194,7000,50000.0,2.0,Convertible,1796.0,Manual,2008.0,Mercedes-Benz,SLK
195,25000,101.0,2.0,Convertible,1498.0,Manual,2020.0,Volkswagen,T-Roc
196,11000,40453.0,2.0,Convertible,1500.0,Manual,2016.0,Mazda,MX-5
197,25850,36000.0,2.0,Convertible,2996.0,Automatic,2017.0,Mercedes-Benz,SLC
199,7295,82019.0,2.0,Convertible,1798.0,Manual,2010.0,Audi,A5
200,9349,21348.0,5.0,MPV,1598.0,Manual,2014.0,Renault,Grand
201,8995,39654.0,5.0,MPV,2395.0,Automatic,2010.0,Toyota,Estima
202,15590,25500.0,5.0,MPV,1598.0,Automatic,2016.0,Volkswagen,Touran
203,9990,65385.0,5.0,MPV,2179.0,Manual,2011.0,Ford,S-Max
204,7275,18099.0,5.0,MPV,1560.0,Manual,2015.0,Ford,B-MAX
205,4995,43410.0,5.0,MPV,1368.0,Manual,2012.0,Fiat,Doblo
206,24870,123.0,5.0,MPV,1995.0,Automatic,2019.0,BMW,2
208,9375,81000.0,5.0,MPV,1560.0,Manual,2012.0,Ford,Galaxy
210,12250,72857.0,4.0,Saloon,2993.0,Automatic,2013.0,BMW,3
211,32990,21224.0,4.0,Saloon,4395.0,Automatic,2016.0,BMW,7
212,19999,39859.0,4.0,Saloon,1968.0,Automatic,2017.0,Audi,A6
213,30985,469.0,4.0,Saloon,2487.0,Automatic,2020.0,Toyota,Camry
215,5995,87000.0,4.0,Saloon,1968.0,Automatic,2011.0,Audi,A6
217,23444,1500.0,5.0,Saloon,1498.0,Automatic,2019.0,Audi,Q2
218,14000,14132.0,4.0,Saloon,2200.0,Manual,2017.0,Mazda,6
219,20350,2923.0,5.0,Saloon,999.0,Manual,2019.0,Audi,Q2
220,6949,22352.0,5.0,Hatchback,998.0,Manual,2015.0,Toyota,Aygo
221,8700,8222.0,3.0,Hatchback,1398.0,Manual,2019.0,Vauxhall,Corsa
222,11426,13121.0,5.0,Hatchback,1598.0,Manual,2018.0,Vauxhall,Astra
223,17520,4595.0,5.0,Hatchback,999.0,Manual,2019.0,Ford,Focus
224,7699,13008.0,3.0,Hatchback,1398.0,Manual,2019.0,Vauxhall,Corsa
226,5907,8592.0,5.0,Hatchback,998.0,Manual,2016.0,Peugeot,108
227,15495,6261.0,5.0,Hatchback,1598.0,Manual,2019.0,Volkswagen,Golf
228,5998,39539.0,5.0,Hatchback,1396.0,Manual,2012.0,Kia,Ceed
229,14000,16609.0,5.0,Hatchback,1400.0,Manual,2019.0,Vauxhall,Mokka
230,39766,565.0,5.0,4x4,1999.0,Automatic,2019.0,Land-Rover,Discovery-Sport
231,9995,168000.0,5.0,4x4,3630.0,Automatic,2007.0,Land-Rover,Range-Rover-Sport
232,29526,8444.0,5.0,4x4,1999.0,Automatic,2019.0,Jaguar,E-Pace
233,7995,41549.0,5.0,4x4,2179.0,Manual,2010.0,Land-Rover,Freelander
234,29800,39777.0,5.0,4x4,2000.0,Automatic,2016.0,Volvo,XC90
235,38986,8900.0,5.0,4x4,3456.0,Manual,2019.0,Lexus,RX
236,12750,25936.0,5.0,4x4,1685.0,Manual,2017.0,Kia,Sportage
237,22000,37790.0,5.0,4x4,2179.0,Automatic,2015.0,Land-Rover,Range
238,14991,14658.0,5.0,4x4,1591.0,Manual,2019.0,Hyundai,Tucson
239,13180,12578.0,5.0,4x4,1685.0,Manual,2016.0,Hyundai,Tucson
240,7995,103160.0,5.0,Estate,1968.0,Automatic,2012.0,Audi,A6
241,12495,40423.0,5.0,Estate,2000.0,Automatic,2016.0,Ford,Mondeo
242,9998,13846.0,5.0,Estate,1364.0,Automatic,2017.0,Vauxhall,Meriva
243,28800,3568.0,5.0,Estate,2000.0,Automatic,2019.0,Audi,A4
244,8760,17285.0,5.0,Estate,1364.0,Automatic,2017.0,Vauxhall,Meriva
245,6980,42514.0,5.0,Estate,1422.0,Manual,2017.0,Skoda,Fabia
246,15498,14221.0,5.0,Estate,1591.0,Manual,2019.0,Hyundai,Tucson
247,26999,3218.0,5.0,Estate,2000.0,Automatic,2019.0,Mercedes-Benz,C
248,32995,19000.0,5.0,Estate,2143.0,Automatic,2018.0,Mercedes-Benz,GLE
249,11995,82000.0,5.0,Estate,2720.0,Automatic,2007.0,Land-Rover,Range-Rover-Sport
250,17750,15788.0,2.0,Coupe,1995.0,Automatic,2016.0,BMW,4
251,189850,1014.0,2.0,Coupe,3799.0,Automatic,2019.0,Mclaren,600LT
252,9890,61000.0,2.0,Coupe,2143.0,Automatic,2014.0,Mercedes-Benz,C
253,51000,41000.0,2.0,Coupe,3586.0,Automatic,1999.0,Ferrari,360
254,14298,17302.0,3.0,Coupe,1968.0,Automatic,2017.0,Volkswagen,Scirocco
255,28480,8523.0,2.0,Coupe,2993.0,Automatic,2019.0,BMW,4
256,30236,7831.0,2.0,Coupe,1991.0,Manual,2019.0,Mercedes-Benz,C
257,10495,105277.0,2.0,Coupe,1968.0,Automatic,2013.0,Audi,A5
258,5495,37000.0,3.0,Coupe,1461.0,Automatic,2010.0,Renault,Megane
259,4750,88000.0,3.0,Coupe,2387.0,Manual,2009.0,Alfa-Romeo,Brera
260,16990,49000.0,2.0,Convertible,2993.0,Manual,2014.0,BMW,6
261,4995,62000.0,2.0,Convertible,1598.0,Manual,2012.0,Mini,Convertible
262,29995,6052.0,2.0,Convertible,2000.0,Automatic,2019.0,Mercedes-Benz,C
263,24799,32688.0,2.0,Convertible,2000.0,Automatic,2017.0,Mercedes-Benz,C
264,28580,37000.0,2.0,Convertible,4200.0,Automatic,2014.0,Audi,RS5
265,7995,97011.0,2.0,Convertible,1995.0,Automatic,2012.0,BMW,1
266,34280,4998.0,2.0,Convertible,1950.0,Manual,2019.0,Mercedes-Benz,E
267,6750,56878.0,2.0,Convertible,1364.0,Manual,2013.0,Vauxhall,Cascada
268,22950,57744.0,2.0,Convertible,5000.0,Automatic,2010.0,Jaguar,XK
269,2750,111000.0,2.0,Convertible,2435.0,Manual,2008.0,Volvo,Corvette-C70
270,7400,22300.0,5.0,MPV,1198.0,Manual,2017.0,Nissan,Note
271,3495,62000.0,5.0,MPV,1598.0,Manual,2012.0,Renault,Scenic
272,1995,96000.0,5.0,MPV,1560.0,Manual,2009.0,Citroen,C3
273,6995,26000.0,5.0,MPV,1582.0,Manual,2012.0,Hyundai,IX20
274,12495,42000.0,5.0,MPV,1598.0,Manual,2014.0,Volkswagen,Caddy
275,5995,56000.0,4.0,MPV,2490.0,Manual,1999.0,Mazda,Bongo
276,17495,23105.0,5.0,MPV,1968.0,Automatic,2016.0,Volkswagen,Touran
277,6988,32514.0,5.0,MPV,998.0,Manual,2014.0,Ford,B-MAX
278,17285,3215.0,5.0,MPV,1499.0,Manual,2019.0,Citroen,C4
279,17399,2100.0,5.0,MPV,1595.0,Automatic,2018.0,Mercedes-Benz,B
280,4495,109000.0,4.0,Saloon,2993.0,Automatic,2007.0,BMW,5
281,1995,60518.0,4.0,Saloon,1984.0,Manual,2001.0,Audi,A4
282,22350,18758.0,4.0,Saloon,1991.0,Automatic,2019.0,Mercedes-Benz,E
283,54495,9411.0,4.0,Saloon,5980.0,Automatic,2016.0,Mercedes-Benz,S
284,17650,33227.0,4.0,Saloon,1950.0,Automatic,2016.0,Mercedes-Benz,E
285,34995,41768.0,4.0,Saloon,2987.0,Automatic,2016.0,Mercedes-Benz,S
286,19866,21937.0,4.0,Saloon,1950.0,Manual,2017.0,Mercedes-Benz,E
287,12965,45254.0,4.0,Saloon,1968.0,Manual,2015.0,Volkswagen,Passat
288,7500,65000.0,4.0,Saloon,2143.0,Automatic,2009.0,Mercedes-Benz,E
289,16500,26808.0,4.0,Saloon,1968.0,Automatic,2016.0,Audi,A4
290,6720,22620.0,5.0,Hatchback,1198.0,Manual,2015.0,Nissan,Micra
291,3250,101000.0,5.0,Hatchback,1398.0,Manual,2012.0,Peugeot,208
292,12400,17343.0,5.0,Hatchback,999.0,Manual,2017.0,Ford,Focus
293,9990,14398.0,5.0,Hatchback,999.0,Manual,2016.0,Ford,EcoSport
294,12000,32515.0,5.0,Hatchback,1598.0,Manual,2017.0,Volkswagen,Golf
295,7990,17229.0,5.0,Hatchback,1390.0,Automatic,2012.0,Volkswagen,Polo
296,6895,41960.0,3.0,Hatchback,1198.0,Manual,2014.0,Volkswagen,Polo
297,7780,10521.0,5.0,Hatchback,998.0,Manual,2018.0,Kia,Picanto
298,13947,30127.0,5.0,Hatchback,1197.0,Manual,2017.0,Nissan,Qashqai
299,12998,21300.0,5.0,Hatchback,1598.0,Manual,2018.0,Skoda,Octavia
300,18949,47719.0,5.0,4x4,1968.0,Automatic,2015.0,Audi,Q5
302,31470,123.0,5.0,4x4,1995.0,Automatic,2019.0,BMW,X2
303,9450,77000.0,5.0,4x4,2268.0,Automatic,2012.0,Mitsubishi,Outlander
304,21500,36994.0,5.0,4x4,2000.0,Automatic,2016.0,Land-Rover,Discovery-Sport
305,64352,9719.0,4.0,4x4,4367.0,Automatic,2018.0,Land-Rover,Range
306,36480,2997.0,5.0,4x4,1969.0,Manual,2019.0,Volvo,XC60
307,30980,17722.0,5.0,4x4,2987.0,Manual,2017.0,Mercedes-Benz,GLE
308,18800,41087.0,5.0,4x4,1998.0,Automatic,2017.0,Mitsubishi,Outlander
309,9995,35698.0,5.0,4x4,1586.0,Manual,2016.0,Suzuki,Vitara
310,7372,43420.0,5.0,Estate,1582.0,Manual,2015.0,Kia,Ceed
311,26000,50.0,5.0,Estate,2000.0,Automatic,2019.0,Volvo,V90
312,11000,95100.0,5.0,Estate,1998.0,Automatic,2014.0,Mitsubishi,Outlander
313,25350,11001.0,5.0,Estate,1968.0,Automatic,2019.0,Audi,A4
314,23798,7092.0,5.0,Estate,2360.0,Automatic,2019.0,Mitsubishi,Outlander
316,26900,5947.0,5.0,Estate,1498.0,Manual,2019.0,Skoda,Kodiaq
317,10499,74771.0,5.0,Estate,1968.0,Manual,2015.0,Audi,A4
318,10499,21376.0,5.0,Estate,1598.0,Manual,2017.0,Vauxhall,Astra
319,27990,3743.0,5.0,Estate,1968.0,Automatic,2019.0,Audi,A4
320,10749,89756.0,2.0,Coupe,1995.0,Automatic,2015.0,BMW,2
321,1695,130000.0,3.0,Coupe,1870.0,Manual,2010.0,Renault,Megane
322,17698,20661.0,2.0,Coupe,1995.0,Automatic,2016.0,BMW,4
323,25999,3330.0,4.0,Coupe,1332.0,Automatic,2019.0,Mercedes-Benz,CLA
324,7499,65501.0,2.0,Coupe,1995.0,Manual,2012.0,BMW,1
325,14990,68000.0,2.0,Coupe,2967.0,Automatic,2013.0,Audi,A5
326,5950,72000.0,3.0,Coupe,1968.0,Automatic,2008.0,Volkswagen,Scirocco
327,3975,109000.0,2.0,Coupe,1995.0,Manual,2008.0,BMW,3
328,11950,92000.0,2.0,Coupe,4.0,Automatic,1995.0,Jaguar,XJS
329,13001,37506.0,3.0,Coupe,1968.0,Manual,2014.0,Volkswagen,Scirocco
330,8999,70000.0,2.0,Convertible,5439.0,Automatic,2004.0,Mercedes-Benz,SL
331,8099,33483.0,2.0,Convertible,1598.0,Manual,2015.0,Volkswagen,Golf
332,36999,499.0,2.0,Convertible,1500.0,Automatic,2019.0,Mercedes-Benz,C
333,24900,1683.0,2.0,Convertible,2000.0,Manual,2019.0,Audi,A5
334,7995,79494.0,2.0,Convertible,2497.0,Manual,2007.0,BMW,Z4
335,20298,14035.0,2.0,Convertible,2143.0,Automatic,2016.0,Mercedes-Benz,SLC
337,4599,49000.0,2.0,Convertible,1870.0,Manual,2011.0,Renault,Megane
338,12995,5450.0,2.0,Convertible,1390.0,Manual,2014.0,Volkswagen,EOS
339,44906,299.0,2.0,Convertible,3000.0,Automatic,2019.0,BMW,4
340,10799,13829.0,5.0,MPV,1499.0,Manual,2016.0,Ford,Grand
341,15499,21630.0,5.0,MPV,1968.0,Automatic,2016.0,Seat,Alhambra
342,8499,72193.0,5.0,MPV,1560.0,Manual,2016.0,Citroen,C4
343,5999,79000.0,5.0,MPV,3500.0,Automatic,2003.0,Nissan,Elgrand
344,1390,122000.0,5.0,MPV,1896.0,Manual,2005.0,Ford,Galaxy
345,16500,9359.0,5.0,MPV,1498.0,Manual,2018.0,Peugeot,Rifter
346,2995,79000.0,5.0,MPV,1398.0,Manual,2010.0,Vauxhall,Meriva
347,15898,27154.0,5.0,MPV,1598.0,Manual,2016.0,Volkswagen,Touran
348,2195,80477.0,5.0,MPV,1364.0,Manual,2007.0,Vauxhall,Meriva
349,8840,78846.0,5.0,MPV,1598.0,Automatic,2014.0,Volkswagen,Touran
350,16995,19378.0,4.0,Saloon,1395.0,Manual,2018.0,Audi,A4
351,15250,26800.0,5.0,Saloon,999.0,Manual,2017.0,Audi,Q2
352,15000,85070.0,4.0,Saloon,1998.0,Automatic,2017.0,BMW,3
353,8990,37000.0,4.0,Saloon,1984.0,Manual,2013.0,Volkswagen,CC
354,11490,50000.0,4.0,Saloon,2143.0,Automatic,2013.0,Mercedes-Benz,E
355,24999,24501.0,4.0,Saloon,1995.0,Automatic,2018.0,BMW,5
356,13990,50000.0,4.0,Saloon,1991.0,Automatic,2015.0,Mercedes-Benz,C
357,5500,88885.0,4.0,Saloon,2967.0,Automatic,2005.0,Jaguar,XJ
358,13999,79779.0,4.0,Saloon,1991.0,Automatic,2015.0,Mercedes-Benz,C
359,13750,44703.0,4.0,Saloon,1968.0,Manual,2016.0,Audi,A4
360,6995,21487.0,3.0,Hatchback,1242.0,Manual,2017.0,Suzuki,Swift
361,18000,4000.0,5.0,Hatchback,999.0,Manual,2019.0,Ford,Focus
362,1095,230000.0,3.0,Hatchback,1560.0,Manual,2009.0,Mini,Hatch
364,11499,20753.0,5.0,Hatchback,1399.0,Manual,2017.0,Vauxhall,Astra
365,13799,20196.0,5.0,Hatchback,1500.0,Manual,2017.0,Ford,Focus
366,7965,7965.0,3.0,Hatchback,999.0,Manual,2017.0,Volkswagen,Up
367,7922,14309.0,5.0,Hatchback,1598.0,Manual,2014.0,Peugeot,308
368,11600,12478.0,5.0,Hatchback,998.0,Manual,2017.0,Ford,Fiesta
369,1195,124000.0,5.0,Hatchback,1086.0,Manual,2004.0,Kia,Picanto
370,9495,126000.0,5.0,4x4,2993.0,Automatic,2011.0,BMW,X5
371,9795,37650.0,5.0,4x4,1685.0,Manual,2015.0,Hyundai,Tucson
372,20980,42865.0,5.0,4x4,1995.0,Automatic,2016.0,BMW,X3
373,18799,16498.0,5.0,4x4,1998.0,Automatic,2019.0,Mitsubishi,Outlander
374,9990,96000.0,5.0,4x4,2720.0,Automatic,2006.0,Land-Rover,Range-Rover-Sport
375,31000,9548.0,5.0,4x4,1969.0,Automatic,2019.0,Volvo,XC60
376,20000,24275.0,5.0,4x4,2000.0,Manual,2016.0,Land-Rover,Discovery-Sport
377,15990,18012.0,5.0,4x4,1685.0,Manual,2017.0,Kia,Sportage
378,17495,14743.0,5.0,4x4,1995.0,Manual,2017.0,Kia,Sportage
379,46655,7092.0,5.0,4x4,1999.0,Automatic,2019.0,Land-Rover,Range
380,23995,28587.0,5.0,Estate,1968.0,Manual,2017.0,Audi,A6
381,28498,21302.0,5.0,Estate,1969.0,Automatic,2017.0,Volvo,XC90
383,219950,50.0,5.0,Estate,3996.0,Automatic,2020.0,Lamborghini,Urus
384,34995,52131.0,5.0,Estate,2993.0,Automatic,2017.0,Land-Rover,Discovery
385,4990,76000.0,5.0,Estate,1998.0,Manual,2010.0,Vauxhall,Insignia
386,30550,6405.0,5.0,Estate,2000.0,Automatic,2018.0,Land-Rover,Discovery-Sport
387,12995,83377.0,5.0,Estate,2993.0,Automatic,2011.0,Land-Rover,Range-Rover-Sport
388,15498,15177.0,5.0,Estate,1591.0,Manual,2019.0,Hyundai,Tucson
389,4485,114000.0,5.0,Estate,1598.0,Manual,2015.0,Vauxhall,Insignia
390,5991,100000.0,4.0,Coupe,1968.0,Automatic,2011.0,Volkswagen,Passat
391,29999,5283.0,2.0,Coupe,2000.0,Automatic,2019.0,Mercedes-Benz,C
392,11999,32047.0,2.0,Coupe,1995.0,Manual,2016.0,BMW,2
393,99950,14100.0,2.0,Coupe,5935.0,Automatic,2017.0,Aston-Martin,Vanquish
394,17995,27200.0,2.0,Coupe,1984.0,Manual,2016.0,Audi,TT
395,14495,51505.0,3.0,Coupe,1968.0,Manual,2015.0,Audi,TT
396,10990,88000.0,2.0,Coupe,2143.0,Automatic,2012.0,Mercedes-Benz,C
397,10950,45000.0,2.0,Coupe,1968.0,Manual,2012.0,Audi,TT
398,57990,24000.0,2.0,Coupe,5935.0,Automatic,2013.0,Aston-Martin,DB9
399,9495,82000.0,3.0,Coupe,1968.0,Manual,2013.0,Volkswagen,Scirocco
400,24995,46731.0,2.0,Convertible,4997.0,Manual,1999.0,TVR,Chimaera
401,3995,90424.0,2.0,Convertible,2494.0,Automatic,2006.0,BMW,3
402,2995,126000.0,2.0,Convertible,1968.0,Manual,2006.0,Volkswagen,EOS
403,19000,59479.0,2.0,Convertible,5000.0,Automatic,2009.0,Jaguar,XK
404,17250,54083.0,2.0,Convertible,3246.0,Manual,2007.0,BMW,Z4
406,28400,3083.0,2.0,Convertible,1950.0,Automatic,2019.0,Mercedes-Benz,C
407,7495,59500.0,2.0,Convertible,1984.0,Manual,2009.0,Audi,A5
408,10499,35858.0,2.0,Convertible,1796.0,Automatic,2012.0,Mercedes-Benz,SLK
409,12995,54000.0,2.0,Convertible,1984.0,Automatic,2015.0,Volkswagen,Golf
410,23999,15271.0,5.0,MPV,1995.0,Manual,2019.0,Ford,Galaxy
411,4995,71000.0,5.0,MPV,1997.0,Manual,2008.0,Ford,Galaxy
412,2495,70000.0,5.0,MPV,1386.0,Manual,2006.0,Nissan,Note
413,12495,42226.0,5.0,MPV,2157.0,Automatic,2017.0,Ssangyong,Turismo
414,24000,26828.0,5.0,MPV,2000.0,Automatic,2017.0,Ford,Edge
415,1911,99035.0,5.0,MPV,1686.0,Manual,2011.0,Vauxhall,Meriva
416,7995,66996.0,5.0,MPV,1997.0,Manual,2015.0,Citroen,C4
417,8499,42000.0,5.0,MPV,2362.0,Automatic,2003.0,Toyota,Estima
419,8790,31358.0,5.0,MPV,1560.0,Manual,2014.0,Citroen,C4
420,18990,9736.0,4.0,Saloon,2993.0,Automatic,2015.0,BMW,3
